task,architecture,profile,method,k,metric,block,delta
single_shape,TinyCNN,template_init,contrast,6,fidelity,5048,-0.011920197744888728
single_shape,TinyCNN,template_init,contrast,6,fidelity,5049,-0.07756022052543898
single_shape,TinyCNN,template_init,contrast,7,fidelity,5000,0.006797495265382314
single_shape,TinyCNN,template_init,contrast,7,fidelity,5001,-0.10138789310490803
single_shape,TinyCNN,template_init,contrast,7,fidelity,5002,-0.023507535904718435
single_shape,TinyCNN,template_init,contrast,7,fidelity,5003,0.002404449735391778
single_shape,TinyCNN,template_init,contrast,7,fidelity,5004,-0.029640104509215393
single_shape,TinyCNN,template_init,contrast,7,fidelity,5005,-0.08806370691793652
single_shape,TinyCNN,template_init,contrast,7,fidelity,5006,-0.017476376613341338
single_shape,TinyCNN,template_init,contrast,7,fidelity,5007,0.013966697940249628
single_shape,TinyCNN,template_init,contrast,7,fidelity,5008,0.07136527696113504
single_shape,TinyCNN,template_init,contrast,7,fidelity,5009,-0.11707378661412005
single_shape,TinyCNN,template_init,contrast,7,fidelity,5010,-0.028479025793304302
single_shape,TinyCNN,template_init,contrast,7,fidelity,5011,-0.02506251310997254
single_shape,TinyCNN,template_init,contrast,7,fidelity,5012,-0.026894344660390646
single_shape,TinyCNN,template_init,contrast,7,fidelity,5013,-0.02652605055502133
single_shape,TinyCNN,template_init,contrast,7,fidelity,5014,-0.032609451769364584
single_shape,TinyCNN,template_init,contrast,7,fidelity,5015,-0.06883434468376037
single_shape,TinyCNN,template_init,contrast,7,fidelity,5016,-0.025025203382571637
single_shape,TinyCNN,template_init,contrast,7,fidelity,5017,-0.13979587497350632
single_shape,TinyCNN,template_init,contrast,7,fidelity,5018,-0.025590477942049605
single_shape,TinyCNN,template_init,contrast,7,fidelity,5019,-0.12479658483545775
single_shape,TinyCNN,template_init,contrast,7,fidelity,5020,-0.024727835312559288
single_shape,TinyCNN,template_init,contrast,7,fidelity,5021,0.054329558590774596
single_shape,TinyCNN,template_init,contrast,7,fidelity,5022,-0.00845058735975357
single_shape,TinyCNN,template_init,contrast,7,fidelity,5023,-0.06263121335442323
single_shape,TinyCNN,template_init,contrast,7,fidelity,5024,-0.017380633509435306
single_shape,TinyCNN,template_init,contrast,7,fidelity,5025,0.0201426821664632
single_shape,TinyCNN,template_init,contrast,7,fidelity,5026,0.0018671506271061844
single_shape,TinyCNN,template_init,contrast,7,fidelity,5027,-0.0574266065732385
single_shape,TinyCNN,template_init,contrast,7,fidelity,5028,-0.05682583474841785
single_shape,TinyCNN,template_init,contrast,7,fidelity,5029,-0.04532493678850591
single_shape,TinyCNN,template_init,contrast,7,fidelity,5030,0.018677916532830685
single_shape,TinyCNN,template_init,contrast,7,fidelity,5031,0.05032295061618863
single_shape,TinyCNN,template_init,contrast,7,fidelity,5032,-0.10885142708606288
single_shape,TinyCNN,template_init,contrast,7,fidelity,5033,0.038176011670003174
single_shape,TinyCNN,template_init,contrast,7,fidelity,5034,-0.08222995668031552
single_shape,TinyCNN,template_init,contrast,7,fidelity,5035,0.07703606519346462
single_shape,TinyCNN,template_init,contrast,7,fidelity,5036,-0.053678855942565606
single_shape,TinyCNN,template_init,contrast,7,fidelity,5037,-0.051808824110162854
single_shape,TinyCNN,template_init,contrast,7,fidelity,5038,0.02212511514206672
single_shape,TinyCNN,template_init,contrast,7,fidelity,5039,0.005737784347578878
single_shape,TinyCNN,template_init,contrast,7,fidelity,5040,-0.08498563993598895
single_shape,TinyCNN,template_init,contrast,7,fidelity,5041,-0.08879400000624527
single_shape,TinyCNN,template_init,contrast,7,fidelity,5042,0.023202638042440826
single_shape,TinyCNN,template_init,contrast,7,fidelity,5043,0.050804402304814644
single_shape,TinyCNN,template_init,contrast,7,fidelity,5044,-0.06995958647380873
single_shape,TinyCNN,template_init,contrast,7,fidelity,5045,-0.020670605888951088
single_shape,TinyCNN,template_init,contrast,7,fidelity,5046,-0.03836190119571781
single_shape,TinyCNN,template_init,contrast,7,fidelity,5047,-0.004670649377125025
