task,architecture,profile,method,block,B
single_shape,TinyCNN,release_early,auroc,5038,0.08858783427753175
single_shape,TinyCNN,release_early,auroc,5039,0.09865660031624551
single_shape,TinyCNN,release_early,auroc,5040,-0.03778242546045585
single_shape,TinyCNN,release_early,auroc,5041,0.06655429393336254
single_shape,TinyCNN,release_early,auroc,5042,0.1155531164948444
single_shape,TinyCNN,release_early,auroc,5043,0.05817597177054851
single_shape,TinyCNN,release_early,auroc,5044,0.053497829371949135
single_shape,TinyCNN,release_early,auroc,5045,0.22488810977530727
single_shape,TinyCNN,release_early,auroc,5046,0.11528903206329322
single_shape,TinyCNN,release_early,auroc,5047,0.13104113916208882
single_shape,TinyCNN,release_early,auroc,5048,0.03255856679367769
single_shape,TinyCNN,release_early,auroc,5049,0.061082865994879
single_shape,TinyCNN,release_default,auroc,5000,0.1760086065096444
single_shape,TinyCNN,release_default,auroc,5001,0.07893663719427663
single_shape,TinyCNN,release_default,auroc,5002,0.12146124621870125
single_shape,TinyCNN,release_default,auroc,5003,0.08109077987364566
single_shape,TinyCNN,release_default,auroc,5004,0.09266785598649724
single_shape,TinyCNN,release_default,auroc,5005,0.0806189332397293
single_shape,TinyCNN,release_default,auroc,5006,0.09213562410121356
single_shape,TinyCNN,release_default,auroc,5007,0.12639953185491593
single_shape,TinyCNN,release_default,auroc,5008,0.11168767978977456
single_shape,TinyCNN,release_default,auroc,5009,0.03879065359207451
single_shape,TinyCNN,release_default,auroc,5010,0.03942685943558066
single_shape,TinyCNN,release_default,auroc,5011,0.011814027660946191
single_shape,TinyCNN,release_default,auroc,5012,0.05261657639681683
single_shape,TinyCNN,release_default,auroc,5013,0.08645438203416278
single_shape,TinyCNN,release_default,auroc,5014,0.014834486590610096
single_shape,TinyCNN,release_default,auroc,5015,0.1567234151529338
single_shape,TinyCNN,release_default,auroc,5016,0.1626364488418756
single_shape,TinyCNN,release_default,auroc,5017,0.05397759565233018
single_shape,TinyCNN,release_default,auroc,5018,0.17419680180316138
single_shape,TinyCNN,release_default,auroc,5019,0.1184536792361029
single_shape,TinyCNN,release_default,auroc,5020,0.1135555643858629
single_shape,TinyCNN,release_default,auroc,5021,0.07417461776859158
single_shape,TinyCNN,release_default,auroc,5022,0.08681994141463695
single_shape,TinyCNN,release_default,auroc,5023,0.0055125438820796124
