task,architecture,block,condition,original_U,refit_U,delta_U,original_cf_accuracy,refit_cf_accuracy,original_acc,refit_acc,selected_refit_converged
two_concepts,TinyCNN,2,frozen_random_unitnorm,0.4660219731309238,0.5191595159188728,0.053137542787948966,0.564453125,0.716796875,0.6171875,0.76171875,True
single_shape,TwoLayerCNN,7,frozen_spectrum,0.1496562815214193,0.0927727306250423,-0.056883550896377005,0.1197916641831398,0.0924479141831398,1.0,1.0,True
single_shape,TwoLayerCNN,1,frozen_random_unitnorm,-0.023496364650387624,0.010285103019129646,0.03378146766951727,0.013020833022892475,0.0234375,1.0,1.0,True
single_shape,TwoLayerCNN,6,template_retention_1,-0.005532226575518884,0.056348614142818054,0.06188084071833694,0.0494791679084301,0.0651041641831398,1.0,1.0,True
two_concepts,TinyCNN,8,frozen_spectrum,0.5491583758976171,0.3974157583963981,-0.15174261750121898,0.5625,0.560546875,0.625,0.79296875,True
two_concepts,TwoLayerCNN,7,template_init,0.12005899522144114,0.04833192332869976,-0.07172707189274138,0.123046875,0.076171875,0.99609375,1.0,True
two_concepts,TwoLayerCNN,6,frozen_templates,0.10501974196165395,0.02939487415830136,-0.07562486780335259,0.12109375,0.087890625,0.96484375,0.98046875,True
single_shape,TwoLayerCNN,1,template_retention_1,0.07621129634659896,0.07663553953170782,0.0004242431851088635,0.18359375,0.1067708358168602,1.0,1.0,True
single_shape,TinyCNN,1,frozen_templates,0.34407908913245894,0.4022443898971419,0.05816530076468296,0.6471354365348816,0.5286458134651184,0.921875,1.0,True
two_concepts,TwoLayerCNN,7,frozen_spectrum,0.46338529827604047,0.4376107825686348,-0.025774515707405687,0.478515625,0.41796875,0.96875,0.9765625,True
single_shape,TwoLayerCNN,9,template_retention_1,0.04540864220153451,0.09619222734997358,0.05078358514843907,0.07421875,0.125,1.0,1.0,True
single_shape,TwoLayerCNN,3,template_init,0.08362577211990371,0.09687953110341714,0.013253758983513428,0.0807291641831398,0.0963541641831398,1.0,1.0,True
two_concepts,TinyCNN,6,frozen_templates,0.7839978483454884,0.5648958253703845,-0.21910202297510384,0.533203125,0.609375,0.4375,0.81640625,True
two_concepts,TinyCNN,6,template_retention_1,0.7022190705578855,0.7127433073120601,0.010524236754174687,0.865234375,0.888671875,0.90234375,0.96875,True
single_shape,TinyCNN,5,frozen_random_unitnorm,0.23722130700438088,0.4688874753033092,0.23166616829892833,0.5703125,0.6106770634651184,0.77734375,0.9921875,True
single_shape,TinyCNN,0,template_init,0.31115747993102333,0.3847375631140946,0.0735800831830713,0.3763020932674408,0.44140625,1.0,1.0,True
single_shape,TinyCNN,4,template_retention_1,0.2880035315830981,0.41998042026999943,0.13197688868690133,0.5364583134651184,0.5481770634651184,0.99609375,1.0,True
two_concepts,TwoLayerCNN,3,frozen_random_unitnorm,0.09949005675242231,0.06093666975355637,-0.03855338699886594,0.12890625,0.1015625,0.9921875,0.99609375,True
two_concepts,TwoLayerCNN,2,frozen_spectrum,-0.00581649410694951,-0.054976178698755485,-0.049159684591805974,0.12890625,0.087890625,0.9765625,1.0,True
two_concepts,TinyCNN,8,frozen_random_unitnorm,0.3382132393271964,0.3946910000371239,0.056477760709927494,0.322265625,0.57421875,0.40234375,0.7265625,True
single_shape,TwoLayerCNN,2,frozen_templates,-0.005081133251234493,-0.012580951376562816,-0.0074998181253283225,0.0416666679084301,0.01692708395421505,1.0,1.0,True
single_shape,TinyCNN,9,frozen_templates,0.20705607916127022,0.409171321638306,0.20211524247703577,0.4739583432674408,0.5677083134651184,0.84375,0.98046875,True
two_concepts,TwoLayerCNN,2,template_retention_1,0.08579120040343924,0.024309309861006656,-0.06148189054243258,0.09765625,0.064453125,0.98828125,0.99609375,True
two_concepts,TinyCNN,8,template_init,0.5537228225321341,0.47527589255713115,-0.07844692997500297,0.830078125,0.62109375,0.98828125,0.99609375,True
two_concepts,TinyCNN,2,frozen_spectrum,0.373109845909507,0.45216460878713893,0.07905476287763191,0.462890625,0.599609375,0.5,0.7734375,True
two_concepts,TinyCNN,5,template_init,0.5377954143586958,0.5304009020860108,-0.007394512272685061,0.763671875,0.6640625,0.98046875,0.9921875,True
