task,architecture,treatment,reference,metric,n,mean,sd,lo,hi,p
single_shape,TinyCNN,template_init,spectrum_init,fidelity_random,10,-0.00703042349009429,0.019902331536407997,-0.021267693799933277,0.007206846819744696,0.29289995981736544
single_shape,TinyCNN,template_init,spectrum_init,causal_usefulness,10,-0.0334127649243967,0.07782635560737623,-0.08908638587603765,0.022260856027244237,0.20763831910945205
single_shape,TinyCNN,template_init,spectrum_init,cf_accuracy,10,-0.026041670143604277,0.07433921455963378,-0.07922074066458726,0.027137400377378697,0.29668559320335325
single_shape,TinyCNN,template_init,spectrum_init,cf_accuracy_random,10,-0.0040690102992812175,0.024381488865781033,-0.021510476737695496,0.013372456139133059,0.6104348149604124
single_shape,TinyCNN,template_init,spectrum_init,refit_test_acc,10,-0.000390625,0.0012352647110032732,-0.0012742801417398824,0.0004930301417398823,0.34343639613791355
single_shape,TinyCNN,template_init,spectrum_init,nuisance_acc,10,0.0,0.0,0.0,0.0,1.0
single_shape,TinyCNN,template_init,spectrum_init,nuisance_prediction_stability,10,0.0,0.0,0.0,0.0,1.0
single_shape,TinyCNN,template_init,spectrum_init,nuisance_probability_l2,10,9.809122420847415e-05,0.00031931936904705814,-0.00013033609165517823,0.00032651854007212654,0.35672326376738783
single_shape,TinyCNN,template_init,spectrum_init,drift_l2,10,0.006234574317932129,0.05890826370721765,-0.0359058589448083,0.04837500758067256,0.7455338642952714
single_shape,TinyCNN,template_init,spectrum_init,selected_kernel_alignment,10,0.30828138373299613,0.09223823140458338,0.24229812790157684,0.3742646395644154,2.2531940756472552e-06
single_shape,TinyCNN,template_init,spectrum_init,best_semantic_kernel_alignment,10,0.3099836546032398,0.11924266346892867,0.22468259180229813,0.3952847174041815,1.7798472354593575e-05
single_shape,TinyCNN,template_init,spectrum_init,input_effect_mean_square,10,0.031483236948649074,0.014857918760422294,0.020854522154767272,0.04211195174253088,8.846448763017124e-05
single_shape,TinyCNN,template_init,spectrum_init,counterfactual_agreement,10,-0.026041670143604277,0.07433921455963378,-0.07922074066458726,0.027137400377378697,0.29668559320335325
single_shape,TinyCNN,template_retention_1,spectrum_retention_1,id_acc,10,-0.000390625,0.003884487992233411,-0.003169420311472951,0.0023881703114729514,0.7577400727729552
single_shape,TinyCNN,template_retention_1,spectrum_retention_1,alignment,10,0.5071252342824945,0.08847206164796134,0.4438361339955992,0.5704143345693897,2.1580840369616447e-08
single_shape,TinyCNN,template_retention_1,spectrum_retention_1,semantic_auc,10,-0.0004842122395833148,0.01265497056110273,-0.009537032825547288,0.008568608346380659,0.9063517161237937
single_shape,TinyCNN,template_retention_1,spectrum_retention_1,localization_iou,10,0.2768790448611176,0.1281996324363476,0.18517055245260955,0.3685875372696256,7.64534370046303e-05
single_shape,TinyCNN,template_retention_1,spectrum_retention_1,fidelity_selected,10,-0.011298698312284517,0.0695476820181709,-0.06105011293946415,0.03845271631489511,0.6198061159323203
single_shape,TinyCNN,template_retention_1,spectrum_retention_1,fidelity_random,10,-0.004678251532948851,0.013742688028142477,-0.014509178320723853,0.00515267525482615,0.30971452884189504
single_shape,TinyCNN,template_retention_1,spectrum_retention_1,causal_usefulness,10,-0.006620446779335665,0.07309515957092327,-0.05890957397271533,0.045668680414044,0.7810426776394376
single_shape,TinyCNN,template_retention_1,spectrum_retention_1,cf_accuracy,10,-0.0010416686534881591,0.08629363447793455,-0.06277241602011215,0.06068907871313582,0.970383450728964
single_shape,TinyCNN,template_retention_1,spectrum_retention_1,cf_accuracy_random,10,0.0015462241688510403,0.030697136168212444,-0.020413184183144174,0.023505632520846254,0.8769616718953215
single_shape,TinyCNN,template_retention_1,spectrum_retention_1,refit_test_acc,10,0.0,0.0,0.0,0.0,1.0
single_shape,TinyCNN,template_retention_1,spectrum_retention_1,nuisance_acc,10,0.00078125,0.004434736032793333,-0.002391169047294043,0.003953669047294044,0.5910512317836047
single_shape,TinyCNN,template_retention_1,spectrum_retention_1,nuisance_prediction_stability,10,-0.000390625,0.005026109131671558,-0.003986086877592308,0.003204836877592308,0.811373655241246
single_shape,TinyCNN,template_retention_1,spectrum_retention_1,nuisance_probability_l2,10,-0.00021333013428375124,0.0004015586867788673,-0.0005005879140306226,7.392764546312013e-05,0.12726476576084558
single_shape,TinyCNN,template_retention_1,spectrum_retention_1,drift_l2,10,-0.0006199687719345093,0.012706697456924427,-0.009709792550049874,0.008469855006180855,0.8807857256248576
single_shape,TinyCNN,template_retention_1,spectrum_retention_1,selected_kernel_alignment,10,0.49586074599658236,0.09384888259877873,0.4287252997102571,0.5629961922829076,4.406653421297088e-08
single_shape,TinyCNN,template_retention_1,spectrum_retention_1,best_semantic_kernel_alignment,10,0.5466531491974267,0.09804578701959704,0.476515418349896,0.6167908800449574,2.751739668910903e-08
single_shape,TinyCNN,template_retention_1,spectrum_retention_1,input_effect_mean_square,10,0.07663985888163247,0.08029341064825395,0.019201413069046304,0.13407830469421864,0.0145172239040357
single_shape,TinyCNN,template_retention_1,spectrum_retention_1,counterfactual_agreement,10,-0.0009114623069763183,0.08641634348310363,-0.06272999040787497,0.06090706579392233,0.9741206024751806
single_shape,TinyCNN,frozen_templates,frozen_random_unitnorm,id_acc,10,0.090625,0.14241958699097731,-0.011255835102002745,0.19250583510200275,0.07505710116888463
single_shape,TinyCNN,frozen_templates,frozen_random_unitnorm,alignment,10,0.8470419459672109,0.016243412653114034,0.8354221085489875,0.8586617833854344,5.63941621505257e-17
single_shape,TinyCNN,frozen_templates,frozen_random_unitnorm,semantic_auc,10,0.025333658854166684,0.01980729369183948,0.01116437452277003,0.03950294318556334,0.002908537997085676
single_shape,TinyCNN,frozen_templates,frozen_random_unitnorm,localization_iou,10,0.3225844594222347,0.04961315900215229,0.2870933435021475,0.3580755753423219,7.1124699552041145e-09
single_shape,TinyCNN,frozen_templates,frozen_random_unitnorm,fidelity_selected,10,0.0017981809611063103,0.10088086008624571,-0.07036763898363302,0.07396400090584565,0.9562810250490963
single_shape,TinyCNN,frozen_templates,frozen_random_unitnorm,fidelity_random,10,0.009266831490028785,0.06325469861199419,-0.035982853998272314,0.05451651697832988,0.6541663818549208
single_shape,TinyCNN,frozen_templates,frozen_random_unitnorm,causal_usefulness,10,-0.007468650528922474,0.12227172602048904,-0.09493657414479349,0.07999927308694856,0.8511228091275136
single_shape,TinyCNN,frozen_templates,frozen_random_unitnorm,cf_accuracy,10,0.1317708432674408,0.07382504573702106,0.07895958696455772,0.18458209957032384,0.00031585728223002083
single_shape,TinyCNN,frozen_templates,frozen_random_unitnorm,cf_accuracy_random,10,-0.0026041663717478515,0.04487447687782352,-0.034705433308912986,0.02949710056541728,0.8584625453847313
single_shape,TinyCNN,frozen_templates,frozen_random_unitnorm,refit_test_acc,10,0.035546875,0.02158868302627624,0.02010326150596004,0.05099048849403996,0.0005589171904489809
single_shape,TinyCNN,frozen_templates,frozen_random_unitnorm,nuisance_acc,10,0.084765625,0.1282277757252613,-0.006962999904589692,0.17649424990458967,0.06613614936402032
single_shape,TinyCNN,frozen_templates,frozen_random_unitnorm,nuisance_prediction_stability,10,0.104296875,0.0496860395706058,0.06875362346195721,0.13984012653804279,9.503647054047135e-05
single_shape,TinyCNN,frozen_templates,frozen_random_unitnorm,nuisance_probability_l2,10,-0.0001779759331839159,0.0002021510397320452,-0.00032258607550895773,-3.336579085887409e-05,0.021257726457712844
single_shape,TinyCNN,frozen_templates,frozen_random_unitnorm,drift_l2,10,0.0,0.0,0.0,0.0,1.0
single_shape,TinyCNN,frozen_templates,frozen_random_unitnorm,selected_kernel_alignment,10,0.8454529751639521,0.02438882348749721,0.8280062618532403,0.8628996884746639,2.220512694637781e-15
single_shape,TinyCNN,frozen_templates,frozen_random_unitnorm,best_semantic_kernel_alignment,10,0.8371516615877986,0.05116642710371169,0.8005494046044095,0.8737539185711878,1.890323018794019e-12
single_shape,TinyCNN,frozen_templates,frozen_random_unitnorm,input_effect_mean_square,10,0.016553579395016036,0.007406358933467481,0.011255389383731638,0.021851769406300434,5.869871123611454e-05
single_shape,TinyCNN,frozen_templates,frozen_random_unitnorm,counterfactual_agreement,10,0.13802083134651183,0.06136853005930574,0.09412042955823444,0.18192123313478922,5.592422456718e-05
single_shape,TinyCNN,frozen_templates,frozen_spectrum,id_acc,10,0.0046875,0.07848873658578875,-0.05145995975894366,0.06083495975894365,0.8543947079716984
single_shape,TinyCNN,frozen_templates,frozen_spectrum,alignment,10,0.583854291151132,0.09222029273201202,0.5178838678730209,0.649824714429243,8.997289431390296e-09
single_shape,TinyCNN,frozen_templates,frozen_spectrum,semantic_auc,10,0.03824259440104173,0.02067563419671587,0.02345213669273235,0.053033052109351116,0.00024403459768297648
single_shape,TinyCNN,frozen_templates,frozen_spectrum,localization_iou,10,0.3122548721316857,0.11919471143144082,0.22698811215191717,0.3975216321114542,1.672927746266249e-05
single_shape,TinyCNN,frozen_templates,frozen_spectrum,fidelity_selected,10,-0.05275675263500358,0.09901122576436011,-0.12358511675590923,0.01807161148590207,0.1262763079513726
single_shape,TinyCNN,frozen_templates,frozen_spectrum,fidelity_random,10,-0.008588653555877962,0.08468004038862853,-0.06916510524725493,0.051987798135499,0.755734604647974
single_shape,TinyCNN,frozen_templates,frozen_spectrum,causal_usefulness,10,-0.04416809907912561,0.10317758272033503,-0.11797689542130048,0.029640697263049257,0.20884599986553726
single_shape,TinyCNN,frozen_templates,frozen_spectrum,cf_accuracy,10,0.056510424613952635,0.0863708628755908,-0.0052755686202731675,0.11829641784817843,0.06847442986938024
single_shape,TinyCNN,frozen_templates,frozen_spectrum,cf_accuracy_random,10,-0.0023600258864462376,0.03797248939681755,-0.02952390841402868,0.024803856641136206,0.8485550757087019
single_shape,TinyCNN,frozen_templates,frozen_spectrum,refit_test_acc,10,0.00390625,0.003682847818679935,0.001271699379203215,0.006540800620796785,0.00846815040315423
single_shape,TinyCNN,frozen_templates,frozen_spectrum,nuisance_acc,10,0.001171875,0.06725736233772829,-0.046941143626854004,0.04928489362685401,0.9572635767589048
single_shape,TinyCNN,frozen_templates,frozen_spectrum,nuisance_prediction_stability,10,0.050390625,0.027893165831199686,0.03043705619277331,0.07034419380722669,0.000289565084999069
single_shape,TinyCNN,frozen_templates,frozen_spectrum,nuisance_probability_l2,10,1.6371178207919002e-05,0.00012204359289724444,-7.093354880275432e-05,0.00010367590521859232,0.6813833657332109
single_shape,TinyCNN,frozen_templates,frozen_spectrum,drift_l2,10,0.0,0.0,0.0,0.0,1.0
single_shape,TinyCNN,frozen_templates,frozen_spectrum,selected_kernel_alignment,10,0.5903452325943032,0.10993575881748177,0.5117019283091491,0.6689885368794573,3.8242975013322335e-08
single_shape,TinyCNN,frozen_templates,frozen_spectrum,best_semantic_kernel_alignment,10,0.616944055227065,0.11577835237891153,0.534121211288859,0.6997668991652709,4.091229098063464e-08
single_shape,TinyCNN,frozen_templates,frozen_spectrum,input_effect_mean_square,10,-0.001283047224084537,0.014378813589146272,-0.01156903082499931,0.009002936376830237,0.784190278430357
single_shape,TinyCNN,frozen_templates,frozen_spectrum,counterfactual_agreement,10,0.0841145783662796,0.0799417421693998,0.026927701028660163,0.14130145570389904,0.008836371568362618
single_shape,TwoLayerCNN,template_retention_1,template_init,id_acc,10,-0.000390625,0.0012352647110032732,-0.0012742801417398824,0.0004930301417398823,0.34343639613791355
single_shape,TwoLayerCNN,template_retention_1,template_init,alignment,10,0.17172619608393272,0.011025635514757682,0.1638389315755405,0.17961346059232494,2.9403236965652293e-12
single_shape,TwoLayerCNN,template_retention_1,template_init,semantic_auc,10,0.03368937174479171,0.024563039451833368,0.016118031840858665,0.051260711648724755,0.0018851226274071763
single_shape,TwoLayerCNN,template_retention_1,template_init,localization_iou,10,0.06953569060441209,0.04226882741930588,0.03929839300198233,0.09977298820684184,0.0005623961654109599
single_shape,TwoLayerCNN,template_retention_1,template_init,fidelity_selected,10,0.0900687019791712,0.054794598289796756,0.05087100768170822,0.1292663962766342,0.0005655670057120652
single_shape,TwoLayerCNN,template_retention_1,template_init,fidelity_random,10,0.09924541274749213,0.011113778124338685,0.0912950948146243,0.10719573068035995,4.258841571112842e-10
single_shape,TwoLayerCNN,template_retention_1,template_init,causal_usefulness,10,-0.009176710768320918,0.05884466593794705,-0.051271648927608174,0.03291822739096634,0.6337146431482354
single_shape,TwoLayerCNN,template_retention_1,template_init,cf_accuracy,10,0.04153645928017795,0.04245692450057001,0.011164605131669645,0.07190831342868625,0.01285206826537063
single_shape,TwoLayerCNN,template_retention_1,template_init,cf_accuracy_random,10,0.007600911344343331,0.012832993180971867,-0.001579258952166168,0.01678108164085283,0.093848612589119
