task,architecture,condition,block,mean_val_acc_epochs_1_10,val_acc_epoch_5,val_acc_epoch_10,val_acc_epoch_20,val_acc_epoch_40,first_epoch_95,val_ce_improvement_31_40
single_shape,TwoLayerCNN,frozen_templates,block02,0.853125,0.99609375,0.99609375,1.0,1.0,5.0,0.023932039737701416
single_shape,TwoLayerCNN,frozen_templates,block03,0.832421875,0.88671875,0.99609375,1.0,1.0,6.0,0.02162015810608864
single_shape,TwoLayerCNN,frozen_templates,block04,0.786328125,0.75,0.97265625,0.99609375,1.0,9.0,0.030477821826934814
single_shape,TwoLayerCNN,frozen_templates,block05,0.8171875,0.81640625,1.0,1.0,1.0,7.0,0.01746048592031002
single_shape,TwoLayerCNN,frozen_templates,block06,0.85859375,0.9296875,0.9921875,1.0,1.0,8.0,0.02481657639145851
single_shape,TwoLayerCNN,frozen_templates,block07,0.839453125,0.98046875,0.99609375,0.9921875,0.9921875,4.0,0.02027682587504387
single_shape,TwoLayerCNN,frozen_templates,block08,0.87109375,0.8125,0.98828125,1.0,1.0,6.0,0.023883908987045288
single_shape,TwoLayerCNN,frozen_templates,block09,0.878515625,0.98828125,1.0,1.0,1.0,5.0,0.02036718651652336
single_shape,TwoLayerCNN,random,block00,0.77421875,0.9453125,1.0,1.0,1.0,6.0,0.0011702139163389802
single_shape,TwoLayerCNN,random,block01,0.85234375,0.921875,0.98828125,1.0,1.0,6.0,0.0026148613542318344
single_shape,TwoLayerCNN,random,block02,0.7703125,0.98828125,1.0,1.0,1.0,5.0,0.0014286516234278679
single_shape,TwoLayerCNN,random,block03,0.835546875,0.86328125,1.0,1.0,1.0,6.0,0.001194534357637167
single_shape,TwoLayerCNN,random,block04,0.822265625,0.80859375,0.9921875,1.0,1.0,7.0,0.001895844005048275
single_shape,TwoLayerCNN,random,block05,0.808203125,0.75,1.0,1.0,1.0,8.0,0.0017561085987836123
single_shape,TwoLayerCNN,random,block06,0.835546875,0.9453125,0.99609375,1.0,1.0,6.0,0.0014628127682954073
single_shape,TwoLayerCNN,random,block07,0.73828125,0.93359375,0.984375,1.0,1.0,6.0,0.0018734673503786325
single_shape,TwoLayerCNN,random,block08,0.798046875,0.86328125,0.99609375,1.0,1.0,7.0,0.0015184900257736444
single_shape,TwoLayerCNN,random,block09,0.821875,0.96484375,0.99609375,1.0,1.0,4.0,0.0017886231653392315
single_shape,TwoLayerCNN,random_unitnorm,block00,0.83125,0.9609375,1.0,1.0,1.0,5.0,0.0010915216989815235
single_shape,TwoLayerCNN,random_unitnorm,block01,0.86015625,0.92578125,0.99609375,0.99609375,1.0,6.0,0.002282473724335432
single_shape,TwoLayerCNN,random_unitnorm,block02,0.8796875,0.9921875,0.99609375,1.0,1.0,4.0,0.0017086979933083057
single_shape,TwoLayerCNN,random_unitnorm,block03,0.86953125,0.94140625,1.0,1.0,1.0,6.0,0.0011594663374125957
single_shape,TwoLayerCNN,random_unitnorm,block04,0.860546875,0.88671875,0.99609375,1.0,1.0,6.0,0.001811254769563675
single_shape,TwoLayerCNN,random_unitnorm,block05,0.86640625,0.83203125,1.0,1.0,1.0,6.0,0.001702689565718174
single_shape,TwoLayerCNN,random_unitnorm,block06,0.87109375,0.95703125,0.99609375,1.0,1.0,5.0,0.0014789635315537453
single_shape,TwoLayerCNN,random_unitnorm,block07,0.8171875,0.94921875,1.0,1.0,1.0,6.0,0.0021993261761963367
single_shape,TwoLayerCNN,random_unitnorm,block08,0.838671875,0.94921875,1.0,1.0,1.0,6.0,0.0013642290141433477
single_shape,TwoLayerCNN,random_unitnorm,block09,0.896484375,0.98828125,0.9921875,0.99609375,0.99609375,4.0,0.001778818666934967
single_shape,TwoLayerCNN,spectrum_init,block00,0.894921875,1.0,1.0,1.0,1.0,4.0,0.0008868185104802251
single_shape,TwoLayerCNN,spectrum_init,block01,0.86484375,0.94921875,1.0,1.0,1.0,6.0,0.0028755804523825645
single_shape,TwoLayerCNN,spectrum_init,block02,0.91328125,0.98828125,0.9921875,1.0,1.0,5.0,0.0026641017757356167
single_shape,TwoLayerCNN,spectrum_init,block03,0.858203125,0.8828125,0.99609375,1.0,1.0,6.0,0.001887365709990263
single_shape,TwoLayerCNN,spectrum_init,block04,0.82109375,0.80859375,1.0,1.0,1.0,6.0,0.0017739045433700085
single_shape,TwoLayerCNN,spectrum_init,block05,0.862890625,0.8515625,1.0,1.0,1.0,6.0,0.001617552014067769
single_shape,TwoLayerCNN,spectrum_init,block06,0.883984375,0.984375,1.0,1.0,1.0,5.0,0.0013900701887905598
single_shape,TwoLayerCNN,spectrum_init,block07,0.899609375,0.95703125,0.98828125,0.99609375,1.0,5.0,0.0017700288444757462
single_shape,TwoLayerCNN,spectrum_init,block08,0.89453125,0.95703125,1.0,1.0,1.0,5.0,0.0016400027088820934
single_shape,TwoLayerCNN,spectrum_init,block09,0.9125,0.99609375,1.0,1.0,1.0,3.0,0.0019146050326526165
single_shape,TwoLayerCNN,spectrum_retention_1,block00,0.894140625,1.0,1.0,1.0,1.0,4.0,0.008151404559612274
single_shape,TwoLayerCNN,spectrum_retention_1,block01,0.865234375,0.94921875,1.0,1.0,1.0,6.0,0.0127488374710083
single_shape,TwoLayerCNN,spectrum_retention_1,block02,0.912890625,0.98828125,0.9921875,0.99609375,0.99609375,5.0,0.01343505084514618
single_shape,TwoLayerCNN,spectrum_retention_1,block03,0.860546875,0.8828125,0.99609375,0.99609375,0.99609375,6.0,0.010168110951781273
single_shape,TwoLayerCNN,spectrum_retention_1,block04,0.81796875,0.80078125,1.0,1.0,1.0,6.0,0.01139630377292633
single_shape,TwoLayerCNN,spectrum_retention_1,block05,0.858984375,0.82421875,1.0,1.0,1.0,6.0,0.011324029415845871
single_shape,TwoLayerCNN,spectrum_retention_1,block06,0.883984375,0.984375,1.0,1.0,1.0,5.0,0.01026795245707035
single_shape,TwoLayerCNN,spectrum_retention_1,block07,0.895703125,0.953125,0.9765625,1.0,1.0,5.0,0.01128101721405983
single_shape,TwoLayerCNN,spectrum_retention_1,block08,0.8953125,0.95703125,1.0,1.0,1.0,5.0,0.012116530910134315
single_shape,TwoLayerCNN,spectrum_retention_1,block09,0.91171875,0.99609375,1.0,1.0,1.0,3.0,0.011326337233185768
single_shape,TwoLayerCNN,template_init,block00,0.884375,0.9921875,1.0,1.0,1.0,3.0,0.0015014035161584616
single_shape,TwoLayerCNN,template_init,block01,0.805859375,0.80859375,1.0,1.0,1.0,8.0,0.003946602810174227
single_shape,TwoLayerCNN,template_init,block02,0.890625,0.9609375,1.0,1.0,1.0,2.0,0.0025539640337228775
single_shape,TwoLayerCNN,template_init,block03,0.85234375,0.91796875,1.0,1.0,1.0,6.0,0.002471981104463339
single_shape,TwoLayerCNN,template_init,block04,0.83828125,0.86328125,1.0,1.0,1.0,7.0,0.0027674646116793156
single_shape,TwoLayerCNN,template_init,block05,0.8734375,0.9453125,1.0,1.0,1.0,6.0,0.0024830657057464123
single_shape,TwoLayerCNN,template_init,block06,0.93046875,0.95703125,1.0,1.0,1.0,3.0,0.0018320579547435045
single_shape,TwoLayerCNN,template_init,block07,0.88046875,0.98046875,0.984375,0.99609375,0.99609375,4.0,0.0022540586069226265
