task,architecture,block,condition,id_acc,test_ce,alignment,initial_alignment,semantic_auc,localization_iou,fidelity_selected,fidelity_random,cf_accuracy,cf_accuracy_random,nuisance_acc,nuisance_prediction_stability,nuisance_probability_l2,refit_test_acc,refit_val_acc,refit_converged,drift_l2,seconds,causal_usefulness,selected_kernel_alignment,best_semantic_kernel_alignment,input_effect_mean_square,counterfactual_agreement
two_concepts,TinyCNN,3,template_retention_0.1,0.87890625,0.6207204461097717,0.8050458334488391,1.0,0.945068359375,0.31176606360834225,0.8262728381383722,0.4568484738726016,0.58203125,0.21630859375,0.87890625,0.89453125,0.0033109283540397882,0.9921875,0.9765625,True,0.8822113871574402,5.317706108093262,0.3694243642657706,0.7483451645732458,0.6503293348699448,0.4406118392944336,0.65234375
two_concepts,TinyCNN,3,template_retention_1,0.68359375,0.9244703650474548,0.9600540708842921,1.0,0.83172607421875,0.3670058038565617,0.9336900939027848,0.40904191810353485,0.630859375,0.2421875,0.6875,0.89453125,0.0017601505387574434,0.93359375,0.9296875,True,0.29919737577438354,7.247334003448486,0.5246481757992499,0.9366682980507842,0.8936601548177429,0.14841687679290771,0.794921875
two_concepts,TinyCNN,4,frozen_random_unitnorm,0.390625,1.3538808822631836,0.13766490400574852,0.13766490400574852,0.6972808837890625,0.16277540917920852,0.5580353040951221,0.3374992326168923,0.24609375,0.23876953125,0.390625,0.55078125,0.0005313968285918236,0.6796875,0.71875,True,0.0,2.978555917739868,0.22053607147822984,0.12078838673462337,0.1021890330053628,0.0011453675106167793,0.58203125
two_concepts,TinyCNN,4,frozen_spectrum,0.5625,1.3123102188110352,0.41667566245573784,0.41667566245573784,0.72509765625,0.1942434432615358,0.5841641679863702,0.17787620110217128,0.478515625,0.26513671875,0.55078125,0.76171875,0.0004764560144394636,0.84375,0.87109375,True,0.0,2.6075730323791504,0.4062879668841989,0.37542105823159316,0.5258283362978081,0.0029780790209770203,0.6640625
two_concepts,TinyCNN,4,frozen_templates,0.61328125,1.213018774986267,1.0,1.0,0.77001953125,0.3964659171275529,0.9311563640109435,0.06384929558898522,0.59765625,0.243408203125,0.6015625,0.84375,0.0009588733082637191,0.81640625,0.80859375,True,0.0,2.3309760093688965,0.8673070684219583,1.0,1.0000000000000002,0.023597367107868195,0.83984375
two_concepts,TinyCNN,4,random,0.96875,0.14579987525939941,0.2846189633301771,0.13766490219565825,0.9722747802734375,0.14173772093244819,0.832091415605304,0.23027205149650726,0.7421875,0.061767578125,0.97265625,0.98046875,0.006526237819343805,1.0,1.0,True,1.813908338546753,5.9354212284088135,0.6018193641087968,0.30649332102182725,0.36624240321805657,1.4579428434371948,0.76171875
two_concepts,TinyCNN,4,random_unitnorm,0.96484375,0.1852170079946518,0.2599193073554508,0.13766490400574852,0.9680938720703125,0.13473759652075798,0.849635521336972,0.25654148379961716,0.75390625,0.07568359375,0.9609375,0.98046875,0.008129812777042389,0.98828125,0.9921875,True,1.7550450563430786,5.921420097351074,0.5930940375373548,0.28442692801038605,0.29330091031958855,1.3483539819717407,0.78125
two_concepts,TinyCNN,4,spectrum_init,0.9609375,0.23940542340278625,0.29479161182099467,0.41667566245573784,0.9842529296875,0.20092508869332842,0.8875910126704128,0.18861267942303986,0.798828125,0.063720703125,0.9609375,0.97265625,0.007256878074258566,0.98046875,0.984375,True,1.6086020469665527,5.814300298690796,0.698978333247373,0.296126074852487,0.33123423481256736,1.141793966293335,0.828125
two_concepts,TinyCNN,4,spectrum_retention_1,0.921875,0.6550736427307129,0.38590575148278283,0.41667566245573784,0.9556732177734375,0.20017420412016562,0.9343606278751414,0.17166365391443345,0.822265625,0.089111328125,0.90625,0.9375,0.005094824358820915,0.9765625,0.984375,True,0.3785429000854492,6.022762060165405,0.7626969739607079,0.32296477820333347,0.35872557650991177,0.3119955360889435,0.87109375
two_concepts,TinyCNN,4,template_init,0.96875,0.2896170914173126,0.6781516605928356,1.0,0.9620361328125,0.24972167114210225,0.8883030600531958,0.24402766158475542,0.818359375,0.1298828125,0.9609375,0.984375,0.006209554150700569,0.98828125,0.99609375,True,1.5826843976974487,5.8434062004089355,0.6442753984684404,0.633742157581053,0.6817849314921921,1.018691897392273,0.8359375
two_concepts,TinyCNN,4,template_retention_0.1,0.9609375,0.37868690490722656,0.8014005375588662,1.0,0.9493865966796875,0.3225599312856956,0.9117880562930719,0.2333340241566722,0.83203125,0.137451171875,0.95703125,0.97265625,0.006800286006182432,0.98828125,0.99609375,True,0.9861345291137695,5.584420919418335,0.6784540321363997,0.7356355431064907,0.5994512190083406,0.7783228158950806,0.86328125
two_concepts,TinyCNN,4,template_retention_1,0.94921875,0.7201396822929382,0.9477029533956589,1.0,0.9112091064453125,0.37256516524139993,0.9439062622000893,0.21803415811622295,0.90625,0.150390625,0.94140625,0.97265625,0.003826866624876857,0.96875,0.9921875,True,0.34534531831741333,5.90505313873291,0.7258721040838664,0.9220292500654595,0.8561814685173446,0.24790556728839874,0.943359375
two_concepts,TinyCNN,5,frozen_random_unitnorm,0.4375,1.3395916223526,0.15402479952973908,0.15402479952973908,0.71435546875,0.15591791440873884,0.6120668872447329,0.37386664357968974,0.416015625,0.300048828125,0.40625,0.60546875,0.0006429784698411822,0.73046875,0.7578125,True,0.0,2.257821798324585,0.23820024366504317,0.18184915182712946,0.13276123144361826,0.0017065389547497034,0.689453125
two_concepts,TinyCNN,5,frozen_spectrum,0.55078125,1.245492696762085,0.3781134861721553,0.3781134861721553,0.7978668212890625,0.16090454878755034,0.6738548454965259,0.2628562086633076,0.455078125,0.25537109375,0.53125,0.82421875,0.0011246321955695748,0.80859375,0.875,True,0.0,2.2359399795532227,0.41099863683321824,0.3963991126052542,0.5149145416647171,0.013810992240905762,0.73046875
two_concepts,TinyCNN,5,frozen_templates,0.4921875,1.2608544826507568,1.0,1.0,0.763824462890625,0.3827250342945483,0.8615806572325386,0.08395916578585833,0.482421875,0.248779296875,0.5234375,0.78515625,0.0005153216188773513,0.85546875,0.85546875,True,0.0,2.6199240684509277,0.7776214914466804,1.0,1.0000000000000002,0.012085508555173874,0.666015625
two_concepts,TinyCNN,5,random,0.9921875,0.13968868553638458,0.23936160772222712,0.15402479947873085,0.98992919921875,0.18743654838980472,0.879808700296088,0.2443029101405178,0.8203125,0.1064453125,1.0,0.9921875,0.006307306233793497,1.0,0.99609375,True,1.6952450275421143,5.842944860458374,0.6355057901555703,0.27996397963555264,0.3087863662694649,1.391314148902893,0.826171875
two_concepts,TinyCNN,5,random_unitnorm,0.9921875,0.16227568686008453,0.222891994672269,0.15402479952973908,0.9869384765625,0.19512110051144543,0.8325960885520971,0.26277129942830024,0.751953125,0.1201171875,0.99609375,0.99609375,0.00756265502423048,1.0,0.9921875,True,1.696570634841919,5.583878993988037,0.5698247891237969,0.2473910538120801,0.30291664356720005,1.3113653659820557,0.75390625
two_concepts,TinyCNN,5,spectrum_init,0.9921875,0.26521381735801697,0.2638929442605836,0.3781134861721553,0.98443603515625,0.1372301327628787,0.8371047797012917,0.28798752281560125,0.767578125,0.138671875,0.984375,0.984375,0.008105210959911346,0.99609375,0.9921875,True,1.670807957649231,5.5059778690338135,0.5491172568856905,0.2986821955035874,0.3727254028115622,1.0028547048568726,0.771484375
two_concepts,TinyCNN,5,spectrum_retention_1,0.8671875,0.7562446594238281,0.363700528966995,0.3781134861721553,0.912689208984375,0.17323646198162132,0.7838811209483828,0.3368231649957105,0.626953125,0.213623046875,0.875,0.91015625,0.005336466245353222,0.9921875,0.984375,True,0.3965364098548889,5.373260021209717,0.4470579559526723,0.40244103822234284,0.2956350407405926,0.22027722001075745,0.724609375
two_concepts,TinyCNN,5,template_init,0.98046875,0.2596670985221863,0.6374143816864681,1.0,0.97760009765625,0.311870057007164,0.8465999889029356,0.30880457454423976,0.763671875,0.126953125,0.98828125,0.9765625,0.008092387579381466,0.9921875,0.98828125,True,1.697646975517273,5.872936964035034,0.5377954143586958,0.5814160117055407,0.6122883236931478,1.0269750356674194,0.7734375
