architecture,method,k,metric,block,delta
TinyCNN,validation_patch,4,fidelity,4007,0.01700184665066906
TinyCNN,validation_patch,4,fidelity,4008,0.017056114857591398
TinyCNN,validation_patch,4,fidelity,4009,0.005432216630757103
TinyCNN,validation_patch,4,fidelity,4010,0.029926778293066447
TinyCNN,validation_patch,4,fidelity,4011,-0.02893606978755081
TinyCNN,validation_patch,4,fidelity,4012,-0.018041595960563317
TinyCNN,validation_patch,4,fidelity,4013,-0.02622422443662009
TinyCNN,validation_patch,4,fidelity,4014,0.0004924265707677566
TinyCNN,validation_patch,4,fidelity,4015,0.01335875842755574
TinyCNN,validation_patch,4,fidelity,4016,-0.01574698439702893
TinyCNN,validation_patch,4,fidelity,4017,0.0023737675706323458
TinyCNN,validation_patch,4,fidelity,4018,-0.04719191845333237
TinyCNN,validation_patch,4,fidelity,4019,0.012985919943247826
TinyCNN,validation_patch,8,fidelity,4000,0.019336436258136525
TinyCNN,validation_patch,8,fidelity,4001,0.005233931398144986
TinyCNN,validation_patch,8,fidelity,4002,0.0002882117453042454
TinyCNN,validation_patch,8,fidelity,4003,0.012176354265645783
TinyCNN,validation_patch,8,fidelity,4004,0.002256348483264947
TinyCNN,validation_patch,8,fidelity,4005,0.0053044787596677745
TinyCNN,validation_patch,8,fidelity,4006,0.010790040029481474
TinyCNN,validation_patch,8,fidelity,4007,0.004065226686059242
TinyCNN,validation_patch,8,fidelity,4008,0.0043658931141958846
TinyCNN,validation_patch,8,fidelity,4009,0.00538103790751554
TinyCNN,validation_patch,8,fidelity,4010,0.013899947730705242
TinyCNN,validation_patch,8,fidelity,4011,0.01096280660065796
TinyCNN,validation_patch,8,fidelity,4012,0.0036115211328363594
TinyCNN,validation_patch,8,fidelity,4013,0.009313741301295253
TinyCNN,validation_patch,8,fidelity,4014,0.004880665019443731
TinyCNN,validation_patch,8,fidelity,4015,0.004227728655486596
TinyCNN,validation_patch,8,fidelity,4016,0.018607717558052572
TinyCNN,validation_patch,8,fidelity,4017,-0.0008011308211828272
TinyCNN,validation_patch,8,fidelity,4018,0.0045325173708723465
TinyCNN,validation_patch,8,fidelity,4019,0.006801584866709343
TwoLayerCNN,contrast,1,fidelity,4000,-0.010893374260314337
TwoLayerCNN,contrast,1,fidelity,4001,-0.0044279630326099495
TwoLayerCNN,contrast,1,fidelity,4002,-0.010041749523605814
TwoLayerCNN,contrast,1,fidelity,4003,-0.0199295996529415
TwoLayerCNN,contrast,1,fidelity,4004,-0.0065022727448319495
TwoLayerCNN,contrast,1,fidelity,4005,-0.009074260888218166
TwoLayerCNN,contrast,1,fidelity,4006,-0.0014458588848804688
