task,architecture,block,condition,epoch,concept,control,k,selected_channels,control_channels,selected_energy,control_energy,relative_energy_error,energy_ratio,method
two_concepts,TinyCNN,4000,template_release,200,1,7,4,"[0, 1, 6, 15]","[2, 5, 9, 15]",144281.5546875,144479.4246826172,0.0013714157401876832,1.0013714157401876,validation_patch
two_concepts,TinyCNN,4000,template_release,200,0,0,8,"[3, 4, 7, 8, 9, 12, 13, 14]","[0, 1, 3, 8, 9, 10, 14, 15]",116970.31237792969,116975.17810058594,4.159792820360185e-05,1.0000415979282036,contrast
two_concepts,TinyCNN,4000,template_release,200,0,1,8,"[3, 4, 7, 8, 9, 12, 13, 14]","[1, 7, 8, 10, 12, 13, 14, 15]",116970.31237792969,116965.216796875,4.356302852491099e-05,0.9999564369714751,contrast
two_concepts,TinyCNN,4000,template_release,200,0,2,8,"[3, 4, 7, 8, 9, 12, 13, 14]","[1, 2, 3, 9, 10, 12, 14, 15]",116970.31237792969,116962.91687011719,6.322551134688948e-05,0.9999367744886531,contrast
two_concepts,TinyCNN,4000,template_release,200,0,3,8,"[3, 4, 7, 8, 9, 12, 13, 14]","[0, 3, 6, 7, 8, 11, 13, 15]",116970.31237792969,116959.1943359375,9.505011798434151e-05,0.9999049498820156,contrast
two_concepts,TinyCNN,4000,template_release,200,0,4,8,"[3, 4, 7, 8, 9, 12, 13, 14]","[1, 2, 3, 8, 9, 10, 12, 15]",116970.31237792969,116984.10827636719,0.00011794358890763338,1.0001179435889076,contrast
two_concepts,TinyCNN,4000,template_release,200,0,5,8,"[3, 4, 7, 8, 9, 12, 13, 14]","[0, 3, 5, 6, 8, 9, 13, 15]",116970.31237792969,116953.88708496094,0.0001404227503101819,0.9998595772496898,contrast
two_concepts,TinyCNN,4000,template_release,200,0,6,8,"[3, 4, 7, 8, 9, 12, 13, 14]","[2, 3, 5, 6, 8, 9, 11, 15]",116970.31237792969,116951.70739746094,0.0001590572863363614,0.9998409427136636,contrast
two_concepts,TinyCNN,4000,template_release,200,0,7,8,"[3, 4, 7, 8, 9, 12, 13, 14]","[2, 3, 6, 7, 11, 12, 13, 15]",116970.31237792969,116946.93310546875,0.00019987355753483285,0.9998001264424652,contrast
two_concepts,TinyCNN,4000,template_release,200,1,0,8,"[0, 1, 5, 6, 10, 11, 13, 15]","[1, 2, 3, 5, 7, 9, 11, 15]",229823.59228515625,229819.6131591797,1.7313827257670544e-05,0.9999826861727423,contrast
two_concepts,TinyCNN,4000,template_release,200,1,1,8,"[0, 1, 5, 6, 10, 11, 13, 15]","[2, 4, 5, 7, 9, 12, 13, 15]",229823.59228515625,229806.7205810547,7.341154114686685e-05,0.9999265884588532,contrast
two_concepts,TinyCNN,4000,template_release,200,1,2,8,"[0, 1, 5, 6, 10, 11, 13, 15]","[1, 5, 6, 8, 10, 11, 14, 15]",229823.59228515625,229804.97119140625,8.102342133307039e-05,0.9999189765786669,contrast
two_concepts,TinyCNN,4000,template_release,200,1,3,8,"[0, 1, 5, 6, 10, 11, 13, 15]","[1, 3, 5, 7, 8, 9, 12, 15]",229823.59228515625,229842.2694091797,8.126721820736161e-05,1.0000812672182073,contrast
two_concepts,TinyCNN,4000,template_release,200,1,4,8,"[0, 1, 5, 6, 10, 11, 13, 15]","[1, 2, 3, 4, 7, 9, 14, 15]",229823.59228515625,229843.0076904297,8.447960055096352e-05,1.000084479600551,contrast
two_concepts,TinyCNN,4000,template_release,200,1,5,8,"[0, 1, 5, 6, 10, 11, 13, 15]","[0, 4, 5, 6, 7, 10, 11, 15]",229823.59228515625,229843.73583984375,8.764789762100079e-05,1.000087647897621,contrast
two_concepts,TinyCNN,4000,template_release,200,1,6,8,"[0, 1, 5, 6, 10, 11, 13, 15]","[0, 1, 4, 6, 10, 13, 14, 15]",229823.59228515625,229846.98681640625,0.00010179342780863406,1.0001017934278087,contrast
two_concepts,TinyCNN,4000,template_release,200,1,7,8,"[0, 1, 5, 6, 10, 11, 13, 15]","[2, 3, 4, 7, 11, 12, 13, 15]",229823.59228515625,229796.4755859375,0.00011798918879096035,0.9998820108112091,contrast
