task,architecture,block,condition,epoch,nearest_cosine,assignment_cosine,matching_gap,nearest_template_count,nearest_distance,assignment_distance,redundancy_cosine,mean_raw_norm,initial_index_cosine,raw_initial_drift,id_acc,semantic_auc,localization_iou,causal_usefulness,cf_accuracy,fidelity_selected,fidelity_random
two_concepts,TinyCNN,2004,random,20,0.22882829856007314,0.18946325775395234,0.0393650408061208,10,1.238242272001606,1.2676191158736387,0.31898464376364866,1.3701566,0.5649209857881541,1.1678581,0.9453125,0.98834228515625,0.18333329126007647,0.4667863387668728,0.591796875,0.7782681522698155,0.3114818135029427
two_concepts,TinyCNN,2004,random,40,0.23781882575574748,0.18782257336144542,0.049996252394302054,9,1.2310970946768385,1.2686318248904858,0.34648564760611245,2.0084295,0.46265098021578627,1.8341668,0.96875,0.9904632568359375,0.18540625403831917,0.5440988620012867,0.63671875,0.7845822004364075,0.24048333843512082
two_concepts,TinyCNN,2004,random,80,0.243073528827,0.18675437555422958,0.05631915327277043,7,1.2271841997031117,1.2691111602714125,0.3472712401285769,2.5666907,0.4151407384723932,2.4038794,0.9765625,0.99163818359375,0.19244428154001436,0.599219500782848,0.658203125,0.7879305406559886,0.18871103987314058
two_concepts,TinyCNN,2004,random,120,0.24304027026628133,0.1849022135524111,0.058138056713870234,7,1.2272581758440078,1.2705825835120093,0.3453520393148445,2.8682804,0.3980457433252885,2.709389,0.98828125,0.99371337890625,0.19616806877624515,0.6083282979033438,0.654296875,0.7756323515029154,0.16730405359957173
two_concepts,TinyCNN,2004,random,160,0.24262153365968409,0.18370273428537862,0.05891879937430547,8,1.2276056132716933,1.271750830974185,0.34457037914159605,3.0697055,0.38791899130231655,2.9131684,0.98828125,0.99365234375,0.19870294700876276,0.6128631496619958,0.66015625,0.7683078492144871,0.1554446995524913
two_concepts,TinyCNN,2004,random,200,0.2424782379354049,0.18299818355626116,0.05948005437914375,8,1.2277204443170104,1.2722821367017776,0.34308739619007445,3.2198958,0.38118779522572954,3.0648544,0.98828125,0.9935302734375,0.2003666223498256,0.6163174733665504,0.654296875,0.763114574538747,0.14679710117219658
two_concepts,TinyCNN,2004,random_unitnorm,0,0.1529154522422584,0.12785317424968765,0.025062277992570742,7,1.300727049024433,1.3194869582675057,0.18165006735686576,1.0,1.0,0.0,,,,,,,
two_concepts,TinyCNN,2004,random_unitnorm,1,0.14593221074471624,0.12710704787364754,0.018825162871068696,8,1.3058964749932265,1.3199440319695128,0.17854970828047084,1.0017705,0.9975524319479762,0.08787688,0.3046875,0.7978057861328125,0.1663360945185793,0.3610586684495162,0.30859375,0.64437739683906,0.28331872838954386
two_concepts,TinyCNN,2004,random_unitnorm,5,0.14244719782842497,0.12681996235947224,0.015627235468952727,9,1.3080248177558111,1.3197092398570578,0.17420348961217785,1.0490503,0.9617465171290156,0.3070309,0.7265625,0.934814453125,0.15810610189254357,0.5333346033336201,0.607421875,0.8572211644856949,0.32388656115207465
two_concepts,TinyCNN,2004,random_unitnorm,10,0.15309713492072485,0.1327369940316944,0.02036014088903046,12,1.2990714765924425,1.314138174725766,0.20280967059899963,1.172446,0.8911736760252995,0.5542315,0.8046875,0.96087646484375,0.15537866802167338,0.5046344688314331,0.63671875,0.8299528890539067,0.3253184202224736
