task,architecture,block,condition,epoch,channel,nearest_template,assigned_template,nearest_cosine,assigned_cosine
single_shape,TinyCNN,2007,random_unitnorm,1,8,15,2,0.09553641969850217,0.048530918720314155
single_shape,TinyCNN,2007,random_unitnorm,1,9,6,5,0.1705046959764255,0.16761522059113576
single_shape,TinyCNN,2007,random_unitnorm,1,10,7,9,0.08562859080756992,0.05188372115442427
single_shape,TinyCNN,2007,random_unitnorm,1,11,3,4,0.2675534861145762,0.2597306985708091
single_shape,TinyCNN,2007,random_unitnorm,1,12,13,13,0.30531653243093526,0.30531653243093526
single_shape,TinyCNN,2007,random_unitnorm,1,13,7,6,0.07335689609241665,0.06514742787755091
single_shape,TinyCNN,2007,random_unitnorm,1,14,11,8,0.23298087791543376,0.19649817807297196
single_shape,TinyCNN,2007,random_unitnorm,1,15,14,11,0.13969200789566075,0.10752565638267489
single_shape,TinyCNN,2007,random_unitnorm,5,0,14,14,0.2570536874543233,0.2570536874543233
single_shape,TinyCNN,2007,random_unitnorm,5,1,15,0,0.12374553951593126,0.04590469449287257
single_shape,TinyCNN,2007,random_unitnorm,5,2,12,8,0.07870789623987487,0.06721607669984951
single_shape,TinyCNN,2007,random_unitnorm,5,3,5,4,0.17989828317299048,0.17354425621568473
single_shape,TinyCNN,2007,random_unitnorm,5,4,7,6,0.25135307271731183,0.2089478775744429
single_shape,TinyCNN,2007,random_unitnorm,5,5,10,10,0.02905282184573171,0.02905282184573171
single_shape,TinyCNN,2007,random_unitnorm,5,6,15,1,0.10253334443052187,0.013622344667933902
single_shape,TinyCNN,2007,random_unitnorm,5,7,15,15,0.25646203756611347,0.25646203756611347
single_shape,TinyCNN,2007,random_unitnorm,5,8,1,2,0.17663543163826811,0.16610457048788005
single_shape,TinyCNN,2007,random_unitnorm,5,9,7,5,0.19611783442758754,0.11508027258127575
single_shape,TinyCNN,2007,random_unitnorm,5,10,7,7,0.10713305783508192,0.10713305783508192
single_shape,TinyCNN,2007,random_unitnorm,5,11,3,3,0.32025633822513744,0.32025633822513744
single_shape,TinyCNN,2007,random_unitnorm,5,12,13,12,0.3162069683503463,0.2532205379373316
single_shape,TinyCNN,2007,random_unitnorm,5,13,15,9,0.10417782900766959,-0.00662645070925911
single_shape,TinyCNN,2007,random_unitnorm,5,14,11,11,0.2588830310575377,0.2588830310575377
single_shape,TinyCNN,2007,random_unitnorm,5,15,14,13,0.1581938710510567,0.10417903589577245
single_shape,TinyCNN,2007,random_unitnorm,10,0,14,14,0.3093972750974108,0.3093972750974108
single_shape,TinyCNN,2007,random_unitnorm,10,1,15,11,0.19443532145243803,0.047572699728472986
single_shape,TinyCNN,2007,random_unitnorm,10,2,12,12,0.12316624292140524,0.12316624292140524
single_shape,TinyCNN,2007,random_unitnorm,10,3,5,4,0.2471792741456084,0.22958101437788794
single_shape,TinyCNN,2007,random_unitnorm,10,4,7,5,0.29647442321316086,0.19069926766726694
single_shape,TinyCNN,2007,random_unitnorm,10,5,0,1,0.060822189427633795,0.0179843552232906
single_shape,TinyCNN,2007,random_unitnorm,10,6,15,0,0.13868676081224235,0.0631148909765685
single_shape,TinyCNN,2007,random_unitnorm,10,7,15,15,0.24310018574603734,0.24310018574603734
single_shape,TinyCNN,2007,random_unitnorm,10,8,1,2,0.27463046673297936,0.2714713981138312
